id,text,author,source,added_at,last_posted_at,times_posted
79af87a0-0c7f-463d-8bb3-a19edbf8dce5,142,,daily_quotes_100.csv,2025-09-28T07:04:03.312760+00:00,,0
ef085bab-5ce4-46c4-98f3-31a10f68ffa3,143,,daily_quotes_100.csv,2025-09-28T07:04:03.312765+00:00,,0
f000bffe-c2e1-40e5-a20b-3e49f63e2b10,144,,daily_quotes_100.csv,2025-09-28T07:04:03.312771+00:00,,0
e3533640-0e91-4bd1-b366-d79835a15164,145,,daily_quotes_100.csv,2025-09-28T07:04:03.312776+00:00,,0
ebd8438c-3e35-444c-96e6-95c33ad8e619,146,,daily_quotes_100.csv,2025-09-28T07:04:03.312781+00:00,,0
928e3604-77f6-4f6e-83c5-3183602a6787,147,,daily_quotes_100.csv,2025-09-28T07:04:03.312787+00:00,,0
34630ceb-33b3-4c6c-b248-23345256b2bd,148,,daily_quotes_100.csv,2025-09-28T07:04:03.312792+00:00,,0
5a319316-b28f-4cf8-9b65-61d74a1f9514,149,,daily_quotes_100.csv,2025-09-28T07:04:03.312797+00:00,,0
4055f196-4662-435a-beec-0fd2c41e6491,150,,daily_quotes_100.csv,2025-09-28T07:04:03.312803+00:00,,0
84f191d7-d3bf-488d-a79d-4c2a79d9c948,151,,daily_quotes_100.csv,2025-09-28T07:04:03.312808+00:00,,0
97f8c0d7-b928-4f25-b1e7-ef8f07500883,152,,daily_quotes_100.csv,2025-09-28T07:04:03.312814+00:00,,0
2709450c-1f10-4875-88fa-940d1f14c609,153,,daily_quotes_100.csv,2025-09-28T07:04:03.312819+00:00,,0
3993c308-902c-462a-9069-96ec71d18878,154,,daily_quotes_100.csv,2025-09-28T07:04:03.312825+00:00,,0
bf4d1ff6-c25f-49bf-9a54-22de62366bdc,155,,daily_quotes_100.csv,2025-09-28T07:04:03.312830+00:00,,0
f109cfa6-8bab-4513-a54d-187d67ce0b43,156,,daily_quotes_100.csv,2025-09-28T07:04:03.312836+00:00,,0
fb375ca3-d215-442d-acf0-ebb49c4e2232,157,,daily_quotes_100.csv,2025-09-28T07:04:03.312841+00:00,,0
6a1d2c55-afb3-4286-aa97-44c27435508e,158,,daily_quotes_100.csv,2025-09-28T07:04:03.312847+00:00,,0
9f147518-dc79-4d5d-bd35-8e0d305a8c0c,159,,daily_quotes_100.csv,2025-09-28T07:04:03.312852+00:00,,0
5e8d6ca8-1697-441b-87c0-d29e77720ace,160,,daily_quotes_100.csv,2025-09-28T07:04:03.312858+00:00,,0
bb7c3ec9-d0ba-4051-a5c5-220a296bd6e7,161,,daily_quotes_100.csv,2025-09-28T07:04:03.312863+00:00,,0
66d886de-4941-464c-aa80-8f0a91c8d514,162,,daily_quotes_100.csv,2025-09-28T07:04:03.312869+00:00,,0
820653b3-e7d9-4888-a3bc-9ede8f944669,163,,daily_quotes_100.csv,2025-09-28T07:04:03.312875+00:00,,0
